2025-10-21 09:19:38,42260,35.1,52.9,42.1
2025-10-21 09:19:43,47285,35.1,53.0,42.15
2025-10-21 09:19:48,52310,35.0,53.2,41.98
2025-10-21 09:19:53,57335,34.9,53.7,41.93
2025-10-21 09:19:58,62360,34.8,53.9,41.76
2025-10-21 09:20:03,67385,34.8,54.2,41.88
2025-10-21 09:20:08,72410,34.7,54.5,41.75
2025-10-21 09:20:13,77435,34.8,54.7,42.09
2025-10-21 09:20:18,82460,34.9,55.0,42.48
2025-10-21 09:20:23,87485,35.2,54.9,43.24
2025-10-21 09:20:28,92510,35.8,55.0,44.94
2025-10-21 09:20:33,97535,36.6,54.6,47.05
2025-10-21 09:20:38,102560,37.3,53.9,48.76
2025-10-21 09:20:43,107585,37.7,53.6,49.81
2025-10-21 09:20:48,112610,38.3,53.0,51.32
2025-10-21 09:20:53,117635,38.8,51.9,52.2
2025-10-21 09:20:58,122660,39.2,50.5,52.54
2025-10-21 09:21:03,127685,39.5,49.5,52.82
2025-10-21 09:21:08,132710,39.5,48.7,52.28
2025-10-21 09:21:13,137735,39.4,48.2,51.65
2025-10-21 09:21:18,142760,39.1,47.9,50.56
2025-10-21 09:21:23,147785,38.8,47.5,49.44
2025-10-21 09:21:28,152810,38.4,47.4,48.24
2025-10-21 09:21:33,157835,38.1,47.5,47.47
2025-10-21 09:21:38,162860,37.8,47.7,46.75
2025-10-21 09:21:43,167885,37.6,47.9,46.32
2025-10-21 09:21:48,172910,37.4,48.6,46.14
2025-10-21 09:21:53,177935,37.2,49.3,45.96
2025-10-21 09:21:58,182959,37.0,50.2,45.88
2025-10-21 09:22:03,187985,36.8,51.3,45.89
2025-10-21 09:22:08,193010,36.6,51.2,45.29
2025-10-21 09:22:13,198035,36.5,51.2,45.02
2025-10-21 09:22:18,203060,36.3,51.6,44.67
